pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
19,DownloadFile,fa2y/malicious_samples/0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18.ps1,8,5.53125,-1.078125,-6.609375,3.44140625,0.91064453125
20,DownloadFile,fa2y/malicious_samples/17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc.ps1,8,5.890625,-0.984375,-6.875,3.42578125,0.912109375
21,DownloadFile,527.ps1,8,8.2734375,3.03125,-5.2421875,3.271484375,0.919921875
22,DownloadFile,fa2y/malicious_samples/3bdbacef19e6f70b3bf22ba0e82a4b828b22f124ac9e7781ea1ab8b1e8111850.ps1,8,6.96875,5.09375,-1.875,3.134765625,0.92626953125
23,DownloadFile,1417.ps1,8,5.359375,5.03125,-0.328125,3.236328125,0.9228515625
24,DownloadFile,765.ps1,8,5.78125,-1.046875,-6.828125,3.326171875,0.91650390625
25,DownloadFile,fa2y/malicious_samples/8c157e6e3ec424e585e53ae41ce6e13cd313e73f1891cd992b3ea7eeb866bad5.ps1,8,5.296875,0.984375,-4.3125,3.255859375,0.9208984375
26,DownloadFile,2770.ps1,8,7.09375,1.84375,-5.25,3.337890625,0.916015625
27,DownloadFile,fa2y/malicious_samples/21d04d37dfb4551f54607a3532d6c0d5f46ec52c20ae6db78eb8a4f904a42994.ps1,8,3.078125,-0.703125,-3.78125,3.29296875,0.91845703125
28,DownloadFile,fa2y/malicious_samples/fc04cb621163954fa0f60dfaec9b07b3c9c6a20600609940d59c8a3ef1684e87.ps1,8,7.703125,2.5,-5.203125,3.33984375,0.916015625
29,DownloadFile,2103.ps1,8,7.03125,1.984375,-5.046875,3.32421875,0.91796875
30,DownloadFile,3778.ps1,8,7.921875,2.21875,-5.703125,3.3125,0.91845703125
31,DownloadFile,fa2y/malicious_samples/4afbe15a7453deb54b263466abdb0b3978eec9bc68bb48f2c6f02104b1dd4e6b.ps1,8,4.25,4.0625,-0.1875,3.126953125,0.92919921875
