layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
30,attn,1.5078125,1.625,0.1171875,7.772020725388601,4,FromBase64String,1238.ps1,3537.ps1,False
3,attn,1.5078125,1.640625,0.1328125,8.808290155440414,4,FromBase64String,1238.ps1,3537.ps1,False
22,attn,1.5078125,1.6484375,0.140625,9.32642487046632,4,FromBase64String,1238.ps1,3537.ps1,False
28,attn,1.5078125,1.6484375,0.140625,9.32642487046632,4,FromBase64String,1238.ps1,3537.ps1,False
6,mlp,1.5078125,1.671875,0.1640625,10.880829015544041,4,FromBase64String,1238.ps1,3537.ps1,False
23,mlp,1.5078125,1.6953125,0.1875,12.435233160621761,4,FromBase64String,1238.ps1,3537.ps1,False
29,mlp,1.5078125,1.6953125,0.1875,12.435233160621761,4,FromBase64String,1238.ps1,3537.ps1,False
18,mlp,1.5078125,1.7578125,0.25,16.580310880829018,4,FromBase64String,1238.ps1,3537.ps1,False
25,mlp,1.5078125,1.8203125,0.3125,20.72538860103627,4,FromBase64String,1238.ps1,3537.ps1,False
5,mlp,1.5078125,1.8671875,0.359375,23.83419689119171,4,FromBase64String,1238.ps1,3537.ps1,False
8,attn,1.5078125,1.890625,0.3828125,25.38860103626943,4,FromBase64String,1238.ps1,3537.ps1,False
14,mlp,1.5078125,1.8984375,0.390625,25.906735751295333,4,FromBase64String,1238.ps1,3537.ps1,False
13,mlp,1.5078125,1.9140625,0.40625,26.94300518134715,4,FromBase64String,1238.ps1,3537.ps1,False
14,attn,1.5078125,2.0234375,0.515625,34.196891191709845,4,FromBase64String,1238.ps1,3537.ps1,False
26,attn,1.5078125,2.046875,0.5390625,35.751295336787564,4,FromBase64String,1238.ps1,3537.ps1,False
3,mlp,1.5078125,2.109375,0.6015625,39.89637305699482,4,FromBase64String,1238.ps1,3537.ps1,False
